Site,PRECIP_sum,AGNPP_sum,GPP_sum,AR_sum,NPP_sum,LITFALL_sum,RAIN_sum,SNOW_sum,TBOT_mean,H2OSOI_mean,SOILIQ_mean,SOILICE_mean,W_SCALAR_mean,TSOI_mean,PCT_CLAY_mean,PRECIP_prism,C,C.lci,C.uci,N,N.lci,N.uci,CN,CN.lci,CN.uci,LIG,LIG.lci,LIG.uci,LIG_N
BART,1213.76,364.16,1125.50,502.77,622.72,627.88,1061.12,152.64,7.69,0.48,6.26,3.00,0.56,8.95,11.80,1350.65,50.88,50.44,51.31,0.53,0.50,0.56,98.56,93.40,103.72,16.18,14.50,17.85,30.54
GRSM,1171.09,501.78,1616.65,768.49,848.17,865.40,1157.05,14.04,14.47,0.40,7.66,0.24,0.80,15.09,15.60,1741.36,51.60,50.30,52.89,0.85,0.63,1.07,71.72,53.31,90.13,22.99,19.48,26.50,27.16
HARV,1405.57,379.90,1179.59,527.83,651.76,651.59,1304.83,100.74,8.53,0.34,4.38,2.26,0.69,9.59,15.70,1365.61,51.52,51.09,51.95,0.82,0.76,0.89,64.77,59.54,69.99,26.76,25.41,28.11,32.52
LENO,1559.14,494.30,1658.45,825.59,832.86,847.74,1557.33,1.80,18.27,0.39,7.69,0.03,0.71,19.46,20.80,1836.55,49.20,48.35,50.05,1.09,1.01,1.18,45.94,41.45,50.43,30.19,28.24,32.13,27.62
MLBS,2031.50,399.48,1263.82,577.83,685.99,687.21,1940.32,91.17,9.43,0.44,7.45,1.23,0.70,10.05,10.50,1500.04,51.72,51.24,52.19,1.28,1.17,1.38,42.29,37.05,47.53,30.46,28.24,32.69,23.89
OSBS,1419.80,594.76,2648.15,1656.30,991.84,1012.84,1419.80,0.00,21.25,0.16,3.21,0.00,0.76,21.17,1.00,1468.00,52.81,52.59,53.03,0.48,0.34,0.61,159.45,134.17,184.72,29.89,28.00,31.77,62.65
SCBI,1160.18,458.86,1465.81,683.94,781.87,790.27,1118.10,42.07,12.99,0.48,8.96,0.53,0.63,13.40,32.10,1414.78,50.26,49.75,50.77,0.87,0.77,0.98,59.48,52.32,66.64,21.21,19.43,22.99,24.27
SERC,1193.86,434.99,1406.94,671.66,735.28,751.59,1161.13,32.73,14.26,0.15,2.89,0.16,0.60,15.30,11.50,1424.84,49.32,48.31,50.33,0.71,0.63,0.80,72.72,60.22,85.22,23.95,20.73,27.18,33.62
TALL,1329.49,593.95,2519.72,1528.62,991.10,1010.94,1325.81,3.69,18.10,0.18,3.58,0.00,0.65,18.10,3.00,1696.45,50.83,50.36,51.30,0.53,0.46,0.60,128.95,110.49,147.41,27.75,26.74,28.76,52.29
TREE,511.00,305.06,926.60,403.10,523.50,522.25,438.54,72.46,5.78,0.21,2.80,1.23,0.44,7.61,4.80,916.89,51.44,50.75,52.13,0.76,0.63,0.88,77.32,67.37,87.28,21.59,18.77,24.40,28.55
UNDE,785.22,342.98,1022.65,436.86,585.78,592.04,703.43,81.78,5.09,0.32,4.08,2.13,0.48,6.80,5.70,948.90,49.82,49.37,50.26,0.84,0.79,0.89,62.71,59.34,66.07,22.36,20.39,24.33,26.61
