SITE,SOURCE,MIMSOC,SOC
AND,R,5.356608,6.5
ARC,R,4.492731,4.9
BNZ,R,6.201192,6.5
CDR,R,4.414042,2.5
CWT,R,6.583391,3.9
HBR,R,5.104522,8.9
HFR,R,5.724887,4.6
JRN,R,3.299507,0.65
KBS,R,4.896274,4
KNZ,R,5.779998,4.6
LUQ,R,5.927136,4.1
NWT,R,5.882633,7.1
SEV,R,2.867784,0.4
SGS,R,3.183565,1.6
AND,Python,5.35447,6.5
ARC,Python,4.499368,4.9
BNZ,Python,6.203047,6.5
CDR,Python,4.414006,2.5
CWT,Python,6.583435,3.9
HBR,Python,5.104643,8.9
HFR,Python,5.724937,4.6
JRN,Python,3.410727,0.65
KBS,Python,5.004622,4
KNZ,Python,5.259414,4.6
LUQ,Python,5.89471,4.1
NWT,Python,5.353539,7.1
SEV,Python,2.710802,0.4
SGS,Python,2.961728,1.6
